Video,Ground Truth,Prediction,TP,TN,FP,FN,First Accident Timestamp,Frames Processed,Detection Count,Vehicle Detection Count,Suspicious Frame Count,Processing Time (seconds)
nor1.mp4,normal,normal,0,1,0,0,,75,371,213,0,6.654854500004149
nor10.mp4,normal,normal,0,1,0,0,,64,0,0,0,5.77496070000052
nor11.mp4,normal,normal,0,1,0,0,,95,52,35,0,9.608933200004685
nor12.mp4,normal,normal,0,1,0,0,,79,16,7,0,8.348370299994713
nor13.mp4,normal,normal,0,1,0,0,,97,1352,1295,0,10.370482899998024
nor14.mp4,normal,normal,0,1,0,0,,95,1263,984,0,10.711148500005947
nor15.mp4,normal,normal,0,1,0,0,,63,376,347,0,5.906164899999567
nor16.mp4,normal,normal,0,1,0,0,,73,48,28,0,7.678019500002847
nor17.mp4,normal,normal,0,1,0,0,,124,1406,1388,0,12.752844500006177
nor18.mp4,normal,normal,0,1,0,0,,91,78,40,0,8.589888199996494
nor19.mp4,normal,normal,0,1,0,0,,73,14,1,0,8.024478999999701
nor2.mp4,normal,normal,0,1,0,0,,88,404,260,0,8.042354299999715
nor20.mp4,normal,normal,0,1,0,0,,75,344,101,0,7.637178800003312
nor21.mp4,normal,normal,0,1,0,0,,82,735,694,0,9.403497600003902
nor22.mp4,normal,normal,0,1,0,0,,95,1053,883,0,9.123411600005056
nor23.mp4,normal,normal,0,1,0,0,,88,598,598,0,9.725803500004986
nor24.mp4,normal,normal,0,1,0,0,,71,561,561,0,7.301736199995503
nor25.mp4,normal,normal,0,1,0,0,,84,505,504,0,9.62089140000171
nor26.mp4,normal,accident,0,0,1,0,3.000888888888889,73,63,63,18,7.2945550000004005
nor27.mp4,normal,normal,0,1,0,0,,74,1681,1678,0,9.444575900000928
nor28.mp4,normal,accident,0,0,1,0,3.0034666666666667,99,140,133,39,10.030224000001908
nor29.mp4,normal,normal,0,1,0,0,,99,106,106,0,11.165066999994451
nor3.mp4,normal,normal,0,1,0,0,,114,749,481,0,9.4482124999995
nor30.mp4,normal,normal,0,1,0,0,,78,1742,1731,0,9.150168599997414
nor31.mp4,normal,normal,0,1,0,0,,91,239,224,0,11.311006700001599
nor32.mp4,normal,normal,0,1,0,0,,76,228,186,0,15.26856950000365
nor33.mp4,normal,normal,0,1,0,0,,92,1677,1572,0,16.100237599996035
nor34.mp4,normal,normal,0,1,0,0,,65,259,259,0,7.738754199999676
nor35.mp4,normal,normal,0,1,0,0,,90,599,522,0,11.526770500000566
nor36.mp4,normal,normal,0,1,0,0,,91,1858,1594,0,12.268911799998023
nor37.mp4,normal,normal,0,1,0,0,,78,1492,1404,0,9.370842199998151
nor38.mp4,normal,normal,0,1,0,0,,89,1276,1012,0,11.812643600002048
nor39.mp4,normal,normal,0,1,0,0,,97,1441,1196,0,12.287600199997541
nor4.mp4,normal,normal,0,1,0,0,,84,269,246,0,8.35553179999988
nor40.mp4,normal,normal,0,1,0,0,,99,1639,1161,0,13.038612299998931
nor41.mp4,normal,accident,0,0,1,0,6.8417666666666666,83,575,527,6,10.23491830000421
nor42.mp4,normal,normal,0,1,0,0,,84,1483,1205,0,10.128341000003275
nor43.mp4,normal,normal,0,1,0,0,,69,67,18,0,9.716299200001231
nor44.mp4,normal,normal,0,1,0,0,,72,265,261,0,7.859966200005147
nor45.mp4,normal,normal,0,1,0,0,,99,1079,1070,0,12.295454500002961
nor46.mp4,normal,normal,0,1,0,0,,87,1605,1558,0,11.56158900000446
nor47.mp4,normal,normal,0,1,0,0,,103,447,49,0,12.490780000000086
nor48.mp4,normal,normal,0,1,0,0,,95,2032,1772,0,12.52995369999553
nor49.mp4,normal,normal,0,1,0,0,,94,718,559,0,10.744095299996843
nor5.mp4,normal,normal,0,1,0,0,,77,5,4,0,6.987129399996775
nor50.mp4,normal,normal,0,1,0,0,,61,320,165,0,7.888109700004861
nor51.mp4,normal,normal,0,1,0,0,,67,160,111,0,9.00354370000423
nor52.mp4,normal,normal,0,1,0,0,,80,722,374,0,9.46681279999757
nor53.mp4,normal,normal,0,1,0,0,,92,225,170,0,11.714997799994308
nor54.mp4,normal,normal,0,1,0,0,,101,504,415,0,12.875822300004074
nor55.mp4,normal,normal,0,1,0,0,,93,483,311,0,11.575794700002007
nor56.mp4,normal,normal,0,1,0,0,,63,425,403,0,7.029160700003558
nor57.mp4,normal,normal,0,1,0,0,,64,950,777,0,8.65933650000079
nor58.mp4,normal,normal,0,1,0,0,,75,475,286,0,8.80272039999545
nor6.mp4,normal,normal,0,1,0,0,,76,305,165,0,8.134271500006435
nor7.mp4,normal,normal,0,1,0,0,,90,186,181,0,9.427472600000328
nor8.mp4,normal,normal,0,1,0,0,,123,800,795,0,12.774318300005689
nor9.mp4,normal,normal,0,1,0,0,,93,527,503,0,9.839251800003694
